file,pdbname,username
0d8c2bcb575378f6a88d17b5f6ce70e794a264cdc8556c8e812f0b5f9c709198,b:\\myrtus\\src\\objfre_w2k_x86\\i386\\guava.pdb\x00',
Torpig miniloader_809910F29AA63913EFA76D00FA8C7C0B,naiotoivhe.pdb\x00',
GROK_24A6EC8EBF9C0867ED1C097F4A653B8D,c:\\users\\rmgree5\\co\\standalonegrok_2.1.1.1\\gk_driver\\gk_sa_driver\\objfre_wnet_amd64\\amd64\\SaGk.pdb\x00',rmgree5
48b1024f599c3184a49c0d66c5600385265b9868d0936134185326e2db0ab441,C:\\Users\\tmc\\Documents\\Visual Studio 2015\\Projects\\WindowsServices\\nohost.exe\\obj\\Debug\\nohost.exe.pdb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',tmc
37f4e9d0153221d9a236f299151c9f6911a6f78fff54c91b94ea64d1f3a8872b,d:\\vb_c++\\Explosive\\ExplosiveTr\\ExplosiveTRV1 From 20-4-2012\\tools- InnerDll\\tools\\Release\\tools.pdb\x00',
CretClient.exe.vir,e:\\Code\\ok_code\\CretClient\\release\\CretClient.pdb\x00',
Torpig miniloader_011C1CA6030EE091CE7C20CD3AAECFA0,piachakage.pdb\x00',
lwxtbjqm.cpp,lawAsystem.pdb\x00',
131.exe,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',
0008065861f5b09195e51add72dacd3c4bbce6444711320ad349c7dab5bb97fb,d:\\vb_c++\\c++\\Profiler-P\\SmartSender\\wnhelp\\wnhelp\\Release\\wnhelp.pdb\x00',
Install_LiveManagerPlayer.exe.vir,d:\\Projects\\WinRAR\\SFX\\build\\sfxrar32\\Release\\sfxrar.pdb\x00',
Potao_DebugVersion_BDC9255DF5385F534FEA83B497C371C8,E:\\svn\\sapotao\\BIN\\node69-dropper.pdb\x00',
Win32.KeyPass.bin,G:\\Doc\\My work (C++)\\_New 2018\\Encryption\\Release\\encrypt.pdb\x00',
2094d105ec70aa98866a83b38a22614cff906b2cf0a08970ed59887383ee7b70,c:\\Users\\tmc\\Documents\\Visual Studio 2015\\Projects\\MicroBotMassiveNet\\taskhost\\obj\\x86\\Debug\\taskhost.pdb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',tmc
Fake Intel (1).exe,c:\\To\\CALs\\The.pdb\x00',
c999bf5da5ea3960408d3cba154f965d3436b497ac9d4959b412bfcd956c8491,C:\\Users\\tmc\\Documents\\Visual Studio 2015\\Projects\\WindowsServices\\svchost\\bin\\svchost.pdb\x00',tmc
